"general","specific","api_name_fk"
"MusicalInstruments","vibraphone_vibes","MusicalInstruments/vibraphone_vibes.xpm"
"MusicalInstruments","vocal_vox","MusicalInstruments/vocal_vox.xpm"
"prefs","prefs","../prefs/RecordingPrefs"
"prefs","prefs","../prefs/TracksPrefs"
"PitName","undefined","PitName"
"images","images","../../../../images/Cursors"
"LabelTrackControls","undefined","LabelTrackControls"
"toolbars","toolbars","../toolbars/TranscriptionToolBar"
"widgets","widgets","../../../widgets/PopupMenuTable"
"widgets","widgets","./widgets/HelpSystem"
"widgets","widgets","widgets/Ruler"
"uttleGui","undefined","../../../uttleGui"
"widgets","widgets","../../../widgets/wxPanelWrapper"
"commands","commands","commands/ScreenotCommand"
"wx","wx","wx/fontenum"
"ui","ui","../../ui/TimeiftHandle"
"TrackInfo","undefined","../TrackInfo"
"LabelTrackVRulerControls","undefined","LabelTrackVRulerControls"
"HistoryWindow","undefined","HistoryWindow"
"AColor","undefined","../../../AColor"
"prefs","prefs","../prefs/GUIPrefs"
"TrackArtist","undefined","../../../TrackArtist"
"TrackPanelDrawingContext","undefined","../../../TrackPanelDrawingContext"
"wx","wx","wx/spinctrl"
"MusicalInstruments","_default_instrument","MusicalInstruments/_default_instrument.xpm"
"ToolBarImages","DockUp","ToolBarImages/DockUp.xpm"
"ToolBarImages","DockDown","ToolBarImages/DockDown.xpm"
"ToolBarImages","DockOver","ToolBarImages/DockOver.xpm"
"ToolBarImages","DockUpShort","ToolBarImages/DockUpShort.xpm"
"ToolBarImages","DockDownShort","ToolBarImages/DockDownShort.xpm"
"ImageManipulation","undefined","ImageManipulation"
"AllemeResources","undefined","../../../AllemeResources"
"ToolBarImages","DockOverShort","ToolBarImages/DockOverShort.xpm"
"JournalEvents","undefined","JournalEvents"
"JournalOutput","undefined","JournalOutput"
"JournalRegistry","undefined","JournalRegistry"
"wx","osx","wx/osx/private"
"AppKit","AppKit","AppKit/NSApplication"
"objc","undefined","objc/objc"
"CoreFoundation","undefined","CoreFoundation/CoreFoundation"
"ODComputeSummaryTask","undefined","ODComputeSummaryTask"
"blockfile","blockfile","../blockfile/ODPCMAliasBlockFile"
"Sequence","undefined","../Sequence"
"JournalWindowPas","undefined","JournalWindowPas"
"map","undefined","map"
